ts_start,ts_end,duration_ms,mech,bytes_tx,bytes_rx,cpu_avg,mem_mb,energy_j
2025-11-01T06:33:14.732Z,2025-11-01T06:33:14.732Z,194.56,RSA,270,256,0.00,588992.00,0.0000
2025-11-01T06:33:14.727Z,2025-11-01T06:33:14.727Z,189.85,RSA,256,0,0.00,584336.00,0.0000
2025-11-01T06:35:05.230Z,2025-11-01T06:35:05.230Z,521.67,RSA,256,0,0.00,598720.00,0.0000
2025-11-01T06:35:05.234Z,2025-11-01T06:35:05.234Z,526.40,RSA,270,256,0.00,598720.00,0.0000
2025-11-01T06:35:49.093Z,2025-11-01T06:35:49.093Z,525.39,RSA,256,0,0.00,594880.00,0.0000
2025-11-01T06:35:49.098Z,2025-11-01T06:35:49.098Z,530.14,RSA,270,256,0.00,590448.00,0.0000
2025-11-01T07:34:36.229Z,2025-11-01T07:34:36.229Z,586.50,RSA,270,256,0.00,598336.00,0.0000
2025-11-01T07:34:36.224Z,2025-11-01T07:34:36.224Z,581.81,RSA,256,0,0.00,601296.00,0.0000
2025-11-01T23:07:03.853Z,2025-11-01T23:07:03.853Z,605.33,RSA,256,0,0.00,540432.00,0.0000
2025-11-01T23:22:22.711Z,2025-11-01T23:22:22.711Z,354.63,RSA,256,0,0.00,555024.00,0.0000
