Rekey Start Time (since epoch),End Time,Rekey Time (ms),Rekey Mechanism,Bytes Transmitted,Bytes Received
1761979787594,1761979788075,481,RSA,398,384
1761979792116,1761979792590,473,RSA,398,384
1761979795701,1761979796153,452,RSA,398,384
1761979799248,1761979799839,590,RSA,398,384
1761979802818,1761979803053,234,RSA,398,384
1761979804265,1761979804559,294,RSA,398,384
1761979807826,1761979807987,161,RSA,398,384
1761979811387,1761979811603,216,RSA,398,384
1761979814947,1761979815241,293,RSA,398,384
1761979818513,1761979819023,510,RSA,398,384
1761979822091,1761979822527,435,RSA,398,384
1761979825664,1761979825885,221,RSA,398,384
