Time(s),V,I,W,J
1,5.14,1.08,5.5512,5.5512
2,5.14,1.07,5.5398,5.5398
3,5.13,1.04,5.3352,5.3352
4,5.13,1.05,5.392,5.392
5,5.13,1.05,5.392,5.392
6,5.13,1.04,5.3352,5.3352
7,5.12,1.03,5.2736,5.2736
8,5.12,1.04,5.3248,5.3248
9,5.12,1.06,5.4272,5.4272
10,5.12,1.07,5.4784,5.4784
11,5.11,1.02,5.2222,5.2222
12,5.11,1.02,5.2222,5.2222
13,5.11,1.03,5.2643,5.2643
14,5.11,1.03,5.2643,5.2643
15,5.11,1.04,5.315,5.315
16,5.11,1.04,5.315,5.315
17,5.11,1.03,5.2643,5.2643
18,5.11,1.03,5.2643,5.2643
19,5.13,1.08,5.5404,5.5404
20,5.13,1.08,5.5404,5.5404
21,5.13,1.05,5.3865,5.3865
22,5.13,1.05,5.3865,5.3865
23,5.13,1.09,5.5961,5.5961
24,5.12,1.09,5.5808,5.5808
25,5.12,1.10,5.632,5.632
26,5.14,1.10,5.654,5.654
27,5.14,1.09,5.6026,5.6026
28,5.14,1.06,5.4484,5.4484
29,5.13,1.06,5.4378,5.4378
30,5.13,1.04,5.3352,5.3352
31,5.13,1.03,5.2889,5.2889
32,5.12,1.05,5.376,5.376
33,5.12,1.06,5.4272,5.4272
34,5.12,1.04,5.3248,5.3248
35,5.12,1.04,5.3248,5.3248
36,5.12,1.07,5.4784,5.4784
37,5.14,1.07,5.4998,5.4998
38,5.14,1.02,5.2428,5.2428
39,5.12,1.02,5.2224,5.2224
40,5.12,1.01,5.1712,5.1712
41,5.12,1.08,5.5296,5.5296
42,5.12,1.09,5.5808,5.5808
43,5.12,1.07,5.4784,5.4784
44,5.12,1.10,5.632,5.632
45,5.12,1.11,5.6832,5.6832
46,5.12,1.11,5.6832,5.6832
47,5.11,1.04,5.315,5.315
48,5.11,1.05,5.3655,5.3655
49,5.11,1.05,5.3655,5.3655
50,5.15,1.05,5.4075,5.4075
51,5.15,1.09,5.6235,5.6235
52,5.12,1.09,5.5808,5.5808
53,5.12,1.07,5.4784,5.4784
54,5.13,1.07,5.4791,5.4791
55,5.13,1.11,5.6943,5.6943
56,5.13,1.11,5.6943,5.6943
57,5.13,1.10,5.643,5.643
58,5.12,1.03,5.2736,5.2736
59,5.12,1.03,5.2736,5.2736
60,5.12,1.10,5.632,5.632
