ts,fps,goodput_mbps,latency_ms_p50,cpu_pct,mem_mb,temp_c,drops,tag_fail
ts,fps,goodput_mbps,latency_ms_p50,cpu_pct,mem_mb,temp_c,drops,tag_fail
2025-10-31T23:34:18Z,13.918783,10.140471428977204,0.0,4.3746123,2402608,50.15,0,0
2025-10-31T23:34:23Z,15.009499,10.662373136056692,0.0,4.3744073,2398240,50.7,0,0
2025-10-31T23:34:28Z,14.999993,10.517902527414224,0.0,4.3741894,2394704,50.7,0,0
2025-10-31T23:34:33Z,14.999771,11.279592841314162,0.0,4.3740144,2394896,50.7,0,0
2025-10-31T23:34:38Z,14.995924,11.142652779008637,0.0,4.373856,2394496,50.7,0,0
ts,fps,goodput_mbps,latency_ms_p50,cpu_pct,mem_mb,temp_c,drops,tag_fail
2025-10-31T23:46:59Z,13.891887,9.65999587832769,0.0,4.3430185,742640,46.85,0,0
2025-10-31T23:47:04Z,15.009337,9.886450588977763,0.0,4.342877,741440,46.3,0,0
2025-10-31T23:47:09Z,15.01747,10.076808956974222,0.0,4.342738,738672,46.3,0,0
2025-10-31T23:47:14Z,14.995741,10.092418871513443,0.0,4.342597,737280,47.4,0,0
2025-10-31T23:47:19Z,15.00903,10.25306743998388,0.0,4.3424563,737456,45.75,0,0
2025-10-31T23:47:24Z,14.995803,9.960208217189741,0.0,4.34232,737792,46.85,0,0
2025-10-31T23:47:29Z,14.995667,10.060137461168505,0.0,4.3421593,737024,46.85,0,0
ts,fps,goodput_mbps,latency_ms_p50,cpu_pct,mem_mb,temp_c,drops,tag_fail
2025-10-31T23:49:00Z,13.919887,9.521381041056376,0.0,4.3382497,744512,47.4,0,0
2025-10-31T23:49:05Z,14.999785,10.303926878294021,0.0,4.3380537,740224,46.85,0,0
2025-10-31T23:49:10Z,14.996029,10.81383995670196,0.0,4.3378468,739664,46.85,0,0
2025-10-31T23:49:15Z,14.999948,9.674326390274206,0.0,4.337638,737520,46.85,0,0
2025-10-31T23:49:20Z,15.009367,9.789380432518254,0.0,4.3374662,738848,46.3,0,0
2025-10-31T23:49:25Z,14.99583,9.649375019914794,0.0,4.337301,737936,46.85,0,0
2025-10-31T23:49:30Z,14.995594,10.033873932532277,0.0,4.33716,734592,46.85,0,0
2025-10-31T23:49:35Z,14.999893,10.157346626853833,0.0,4.33702,733744,46.85,0,0
2025-10-31T23:49:40Z,15.009142,9.892578351519946,0.0,4.3368897,733760,46.85,0,0
2025-10-31T23:49:45Z,15.0089245,9.260971866790136,0.0,4.3367543,733264,47.95,0,0
2025-10-31T23:49:50Z,14.995729,8.999910473393253,0.0,4.3366137,733168,47.4,0,0
2025-10-31T23:49:55Z,14.999916,9.117273730429213,0.0,4.336478,734256,46.85,0,0
2025-10-31T23:50:00Z,14.995889,9.14654228588394,0.0,4.336325,733312,47.4,0,0
2025-10-31T23:50:05Z,15.008713,9.22373936000947,0.0,4.3362503,735728,46.3,0,0
2025-10-31T23:50:10Z,14.995691,9.145627563442744,0.0,4.336056,733520,46.85,0,0
2025-10-31T23:50:15Z,15.008916,9.00946431312514,0.0,4.3358393,733984,47.4,0,0
2025-10-31T23:50:20Z,14.999906,9.1736573682165,0.0,4.3356256,734208,47.95,0,0
2025-10-31T23:50:25Z,14.995705,9.234586978537523,0.0,4.335418,735456,46.85,0,0
2025-10-31T23:50:30Z,14.995777,9.120726399986564,0.0,4.3352094,738544,47.95,0,0
2025-10-31T23:50:36Z,15.008965,9.12788499932768,0.0,4.3350077,738976,49.05,0,0
2025-10-31T23:50:41Z,14.995694,9.105164537524862,0.0,4.3348246,738496,47.4,0,0
2025-10-31T23:50:46Z,14.999843,9.041494781433336,0.0,4.334677,738512,46.85,0,0
2025-10-31T23:50:51Z,15.008939,9.206849549919744,0.0,4.334534,739152,47.95,0,0
2025-10-31T23:50:56Z,14.995758,9.242122920317788,0.0,4.334394,732976,47.4,0,0
2025-10-31T23:51:01Z,14.995865,9.230957732909923,0.0,4.3342533,748832,47.4,0,0
2025-10-31T23:51:06Z,15.009082,9.227606137869392,0.0,4.3341136,742000,47.4,0,0
2025-10-31T23:51:11Z,14.995775,9.22168880854742,0.0,4.33397,740896,47.95,0,0
2025-10-31T23:51:16Z,15.030006,9.198142196111458,0.0,4.33382,740224,47.4,0,0
2025-10-31T23:51:21Z,15.02305,9.265676402839139,0.0,4.3337526,737840,47.4,0,0
2025-10-31T23:51:26Z,14.99595,9.237609214336956,0.0,4.3335733,737872,47.4,0,0
2025-10-31T23:51:31Z,15.009001,9.200128686060014,0.0,4.3333545,737888,47.95,0,0
2025-10-31T23:51:36Z,15.018169,9.185600696942583,0.0,4.3331356,737920,48.5,0,0
2025-10-31T23:51:41Z,15.008965,9.202821985059186,0.0,4.3329215,737840,47.95,0,0
2025-10-31T23:51:46Z,14.986745,9.140298818617918,0.0,4.3327084,739456,47.4,0,0
